"","unix","low","high","open","close","BTC-USD volume"
"1",1655942400,19869.41,20794.42,19970.07,20678.73,7451.7618673
"2",1655856000,19751.51,20873.52,20699.63,19968.46,26569.63207564
"3",1655769600,20328.03,21711,20547.68,20696.96,23770.75139634
"4",1655683200,19603.8,21041.62,20552.39,20549.75,24904.11647858
"5",1655596800,17934.26,20795.11,18944.66,20552.44,29383.34368967
"6",1655510400,17567.45,20750,20447.86,18948.89,52894.97568032
"7",1655424000,20209.73,21338.7,20371.96,20447.86,25560.04919013
"8",1655337600,20200,22974.1,22562.33,20372,37587.2170128
"9",1655251200,20071,22769.12,22120.23,22562.33,62040.45345538
"10",1655164800,20816.4,23299.22,22460.97,22120.25,47382.80135514
"11",1655078400,21920,26869.35,26555.17,22460.97,81724.84469418
"12",1654992000,26532.95,28516.33,28395.03,26555.2,18661.94193886
"13",1654905600,28080.01,29411.11,29058.79,28388.63,13276.76193059
"14",1654819200,28821.15,30337.83,30079.59,29063.11,23208.77056569
"15",1654732800,29904,30679.72,30182.92,30079.62,13334.23491125
"16",1654646400,29829.98,31306.32,31111,30177,16775.53319148
"17",1654560000,29200,31549.21,31349.59,31106.9,23234.0811685
"18",1654473600,29866.44,31745,29899.62,31343.61,20384.91220986
"19",1654387200,29505.65,30158.44,29837.56,29901.54,5482.4963235
"20",1654300800,29454.14,29952,29672.77,29843.18,6390.75942952
"21",1654214400,29213.47,30674.95,30429.12,29670.85,15016.78184772
"22",1654128000,29558.61,30655,29789.19,30433.75,18519.12608247
"23",1654041600,29308.01,31964.56,31784.18,29788.79,26857.46263482
"24",1653955200,31195.9,32383.96,31716.67,31784.05,21187.77667355
"25",1653868800,29273.65,32232.16,29447.08,31711.42,24915.37275974
"26",1653782400,28809.84,29550,29008.99,29447.07,6727.92770357
"27",1653696000,28500,29239.52,28598.31,29008.99,7717.34367577
"28",1653609600,28220,29355.4,29166.06,28598.31,21035.53736928
"29",1653523200,28000,29850,29503.48,29166.06,26598.58606063
"30",1653436800,29296.12,30192.08,29627.61,29503.49,17180.56600794
"31",1653350400,28611,29802,29079.31,29626.44,17077.03870179
"32",1653264000,28847.72,30635.39,30258.04,29082.52,25413.0825529
"33",1653177600,29211,30457.9,29407.4,30260.87,11774.13662231
"34",1653091200,28913.26,29613.34,29155.74,29408.26,9998.48360206
"35",1653004800,28690.92,30729.83,30274.59,29155.75,34328.18791921
"36",1652918400,28645.2,30500,28671.5,30274.59,29009.9710577
"37",1652832000,28605,30675.92,30412.1,28672.94,28348.42643576
"38",1652745600,29415.01,30750,29839.89,30412.12,19833.30676705
"39",1652659200,29055,31293.31,31290.02,29839.89,22646.18507353
"40",1652572800,29436.06,31418.35,30041.9,31290.05,16440.89298551
"41",1652486400,28564.38,30287.58,29234.73,30041.88,15245.46818403
"42",1652400000,28662.7,30990,28941.95,29232.18,34643.05118869
"43",1652313600,25338.53,30091.2,28977.75,28941.95,70702.60931849
"44",1652227200,27682.38,32185.9,31002.39,28972.34,61128.25296303
"45",1652140800,29735.05,32645.49,30078.27,31002.39,55818.01900282
"46",1652054400,30010,34231.54,34033.49,30078.27,55136.45332765
"47",1651968000,33701,35499.93,35458,34027.91,22357.51152059
"48",1651881600,34785,36125,35999.1,35458,11372.45319184
"49",1651795200,35255.4,36664.4,36537.22,35999.1,28626.6487821
"50",1651708800,35568,39864.55,39669.56,36537.22,28832.99792317
"51",1651622400,37651.38,40038.27,37719.58,39669.56,21513.95419034
"52",1651536000,37505.01,38643.48,38510.88,37719.59,17946.99450089
"53",1651449600,38041,39181.27,38469.49,38510.89,17946.98346298
"54",1651363200,37401,38675.37,37640.35,38473.05,7980.89975954
"55",1651276800,37590,38795,38592.27,37644.1,6931.07200088
"56",1651190400,38161.85,39926.8,39741.21,38593.1,14282.25993546
"57",1651104000,38883.83,40400,39251.02,39743.22,16718.83057299
"58",1651017600,37882.83,39470,38118.43,39251.11,20832.19649199
"59",1650931200,37700,40817.16,40440.9,38113.82,21648.1142493
"60",1650844800,38210.24,40605.3,39463.75,40439.22,20515.87532995
"61",1650758400,39000,39945.74,39459.63,39464.56,6436.45656858
"62",1650672000,39296.19,39993.82,39712.2,39465.87,6957.16710365
"63",1650585600,39174.8,40802.65,40483.38,39712.25,16871.32104798
"64",1650499200,39744.75,43109.47,41371.88,40480.81,17204.35326683
"65",1650412800,40900,42209.58,41501.56,41377.61,14609.28392672
