,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,67,male,2,own,NA,little,1169,6,radio/TV,low
1,22,female,2,own,little,moderate,5951,48,radio/TV,high
2,49,male,1,own,little,NA,2096,12,education,low
3,45,male,2,free,little,little,7882,42,furniture/equipment,low
4,53,male,2,free,little,little,4870,24,car,high
5,35,male,1,free,NA,NA,9055,36,education,low
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,low
7,35,male,3,rent,little,moderate,6948,36,car,low
8,61,male,1,own,rich,NA,3059,12,radio/TV,low
9,28,male,3,own,little,moderate,5234,30,car,high
10,25,female,2,rent,little,moderate,1295,12,car,high
11,24,female,2,rent,little,little,4308,48,business,high
12,22,female,2,own,little,moderate,1567,12,radio/TV,low
13,60,male,1,own,little,little,1199,24,car,high
14,28,female,2,rent,little,little,1403,15,car,low
15,32,female,1,own,moderate,little,1282,24,radio/TV,high
16,53,male,2,own,NA,NA,2424,24,radio/TV,low
17,25,male,2,own,NA,little,8072,30,business,low
18,44,female,3,free,little,moderate,12579,24,car,high
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,low
20,48,male,2,own,little,NA,2134,9,car,low
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,low
22,48,male,1,rent,little,little,2241,10,car,low
23,44,male,2,own,moderate,moderate,1804,12,car,low
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,low
25,36,male,1,own,little,little,1374,6,furniture/equipment,low
26,39,male,1,own,little,NA,426,6,radio/TV,low
27,42,female,2,rent,rich,rich,409,12,radio/TV,low
28,34,male,2,own,little,moderate,2415,7,radio/TV,low
29,63,male,2,own,little,little,6836,60,business,high
30,36,male,2,own,rich,moderate,1913,18,business,low
31,27,male,2,own,little,little,4020,24,furniture/equipment,low
32,30,male,2,own,moderate,moderate,5866,18,car,low
33,57,male,1,rent,NA,NA,1264,12,business,low
34,33,female,3,own,little,rich,1474,12,furniture/equipment,low
35,25,male,1,own,little,moderate,4746,45,radio/TV,high
36,31,male,2,free,little,NA,6110,48,education,low
37,37,male,2,own,little,rich,2100,18,radio/TV,high
38,37,male,2,own,little,rich,1225,10,domestic appliances,low
39,24,male,2,own,little,moderate,458,9,radio/TV,low
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,low
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,low
42,44,male,1,own,little,moderate,6204,18,repairs,low
43,24,male,2,rent,moderate,little,6187,30,car,low
44,58,female,1,free,little,little,6143,48,car,high
45,35,female,3,own,little,NA,1393,11,car,low
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,low
47,23,female,0,rent,quite rich,little,1352,6,car,low
48,39,male,1,own,little,NA,7228,11,car,low
49,28,female,2,own,moderate,NA,2073,12,radio/TV,low
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,low
51,30,male,3,own,little,moderate,5965,27,car,low
52,25,male,2,own,little,NA,1262,12,radio/TV,low
53,31,male,2,own,NA,NA,3378,18,car,low
54,57,male,2,free,little,moderate,2225,36,car,high
55,26,male,1,own,NA,NA,783,6,car,low
56,52,male,3,own,NA,moderate,6468,12,radio/TV,high
57,31,female,2,own,little,NA,9566,36,radio/TV,low
58,23,female,3,own,little,rich,1961,18,car,low
59,23,female,1,rent,little,little,6229,36,furniture/equipment,high
60,27,male,2,own,little,moderate,1391,9,business,low
61,50,male,2,own,NA,moderate,1537,15,radio/TV,low
62,61,male,3,free,little,moderate,1953,36,business,high
63,25,male,2,own,little,moderate,14421,48,business,high
64,26,female,2,own,little,NA,3181,24,radio/TV,low
65,48,male,2,own,NA,NA,5190,27,repairs,low
66,29,female,2,own,little,NA,2171,12,radio/TV,low
67,22,male,2,own,rich,moderate,1007,12,car,low
68,37,male,2,free,little,NA,1819,36,education,high
69,25,female,2,own,NA,NA,2394,36,radio/TV,low
70,30,female,2,own,little,NA,8133,36,car,low
71,46,male,1,rent,NA,NA,730,7,radio/TV,low
72,51,male,3,free,little,little,1164,8,vacation/others,low
73,41,female,1,own,little,moderate,5954,42,business,low
74,40,male,3,own,NA,little,1977,36,education,high
75,66,male,3,free,little,little,1526,12,car,low
76,34,male,2,own,little,little,3965,42,radio/TV,high
77,51,male,2,own,little,moderate,4771,11,radio/TV,low
78,39,male,1,own,NA,NA,9436,54,car,low
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,low
80,44,female,2,own,NA,NA,5943,24,radio/TV,high
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,low
82,24,female,1,rent,moderate,NA,1568,18,business,low
83,58,female,1,own,little,little,1755,24,vacation/others,low
84,52,male,1,own,little,little,2315,10,radio/TV,low
85,29,female,3,own,little,NA,1412,12,business,low
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,low
87,47,male,2,free,moderate,moderate,12612,36,education,high
88,30,male,3,own,moderate,little,2249,18,car,low
89,28,male,2,own,little,little,1108,12,repairs,high
90,56,male,2,own,little,NA,618,12,radio/TV,low
91,54,male,2,own,little,little,1409,12,car,low
92,33,female,1,own,NA,NA,797,12,radio/TV,high
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,low
94,54,male,2,own,rich,moderate,1318,12,car,low
95,58,male,2,rent,little,moderate,15945,54,business,high
96,61,female,2,own,NA,NA,2012,12,education,low
97,34,male,2,own,moderate,moderate,2622,18,business,low
98,36,male,2,own,little,moderate,2337,36,radio/TV,low
99,36,male,3,rent,NA,moderate,7057,20,car,low
100,41,male,1,rent,moderate,NA,1469,24,car,low
101,24,male,2,rent,little,moderate,2323,36,radio/TV,low
102,24,female,2,own,little,NA,932,6,radio/TV,low
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,low
104,26,male,2,rent,NA,NA,2445,12,car,low
105,39,male,3,own,little,moderate,11938,24,vacation/others,high
106,39,male,3,own,little,NA,6458,18,car,high
107,32,male,2,own,little,moderate,6078,12,car,low
108,30,female,2,own,NA,little,7721,24,furniture/equipment,low
109,35,male,2,own,quite rich,moderate,1410,14,business,low
110,31,male,2,own,moderate,moderate,1449,6,business,low
111,23,female,2,rent,little,rich,392,15,education,low
112,28,male,1,rent,little,moderate,6260,18,car,low
